,id,title,transcript
0,hm002F9TDhY,과학관은 모든 시설이 달라야 돼요,진짜로 저는 과학관 하나 만들고 싶어 진짜 플레이스에 진짜 최신 과학만 다 밀어 놓는 거야 과학관에 있는 거는 모든 시설이 달라야 돼 에스컬레이터도 속도가 잡고 올라가는데 2초면은 올라가고 초고속 에스컬레이터 화장실도 달라 원래 우리가 배출하잖아요 빨아들여 우주선처럼 국제우장거장은 석션을 해요 석션 들어가서 우리가 누는게 아니라 화장실이 빨아들이는 거야 그래서 국제우주정거장 똑같은 시설을 하는 거지 과학과는 모든 시설이 달라야 돼요 저는 그렇게 생각해요 새로운 체험을 할 수 있는 그렇죠
1,wt0IMXSPyn8,사탕수수 어딨지?,그 사탕수수 좀 보셨어요 여기 있어요 먹물도 먹물도 없어요 아니요 말 좀 해봐요 빨리 심으세요이 아저씨야 진짜 저 안 켰어요 캐지 않았고 그 먹물도 있으면 좀 알려주세요 저 가볼게요
2,ZkkM87Yz54w,커염둥이 호박벌,그래서 어려운지는 거야 그래서 제가 호박벌 호박벌 과연 안 물어요 가라고 할까요 예 좀 보내 주세요 야 방송 중이야 허벅발 아니네요 여러분 이거 해 보니까 또 이리로 오네 다 아 일로 보내면 또 오잖아
3,SHFUkgibdJY,플레이에 충실한 컨셉,또 한강 갔죠 펜치까지 하니까 박차도 달고 자기가 보안관인 줄 아는 사이코패스 살인마 자기가 보안관인 줄 알아 문도 박사 초기 설정처럼 자기가 박사인 줄 알아 그래서 정의를 집행해 환각이 보여 착한 놈이 나쁜 놈처럼 보이는 환각이 보여 그래서 계속 잡아 근데 실수로 악인을 잡아 버렸어 나도 모르게 착한 살인 열 번에 한 번
4,LU4BR4RkMnw,팬이에요,이분은 우리 팬이라고 기념사진 좀 찍어 달래요 예 찍으세요 하나 둘 셋 됐죠 인스타 팔로우 사실 안 찍었어요 아니요 사실 안 찍었어요 참 야 팬한테 침뱉어
5,hLIu8WAB3fY,배은망덕맨,있어 보일 말이 없는게 있거든요 어 또 약탈이 나중에도 되기 때문에 무기 석궁 석궁 이거 어떻게 써요 화살 구한 다음에 쏘실 수 있을 거예요 나중에 어 근데 되게 죄송하니까 화살도 있나요 어떻게 쓰지 우클릭하면 될걸 미안합니다 자 갈게요 잘 봤습니다 고맙습니다
6,teNdF7WXUjM,맛 좀 봐!,아 여기다 너무 잔뜩 뿌렸는데 화가나요 요즘에 이렇게 화가 나죠 화가 많고 짜증나고 하루하루가 열 받아요 아 짜증 나 그리고 짜증은 전염이 돼요 아시죠 지금 방송 첨부가 들어가 계시는데 맛 좀 봐 짜증 좀 나 봐 아 짜증나 오늘 니들 맛 좀 봐 아 짜증 나
7,sMSuxN4Ol90,아템전,[음악] 이거 하자며 갱단을 숙의 가운데요 [웃음]
8,lnE4D3LcjBE,미친놈이지만 인정,내가 이거 보고 두 개 정도 연결해서 할 수 있는 걸 한번 말씀해 보세요 딱 연결되는 거 있는데요 예 뭐 있어요 어 정답 sm 플레이 아 잘한다 어 인과관계 입술을 하면 푸산한다 뽀뽀를 하면 수상한다 인정 미친놈이지만 인정입니다 아니 수상한다니까 사랑이 솟아난다는 거야
9,iFgOuQHRRaI,다 들었나?,똥구멍 똥구멍 계속 찌르고 있어요 똥구멍 똥구멍 똥구멍 똥구멍 똥구멍 똥구멍 똥구멍 똥구멍 똥구멍 오케이 옆에 있었어요 나 안 보였는데 다 들었나 똥구멍 똥구멍 오케이 오케이 오케이 갑시다 갑시다
